t_s,tgt_pan,tgt_tilt,act_pan,act_tilt,err_pan,err_tilt,err_deg
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.414,16.042,3.041,7.114,1.200,8.928,1.841,9.116
0.827,19.166,5.623,19.318,4.193,-0.152,1.430,1.438
1.240,6.867,7.363,15.196,6.523,-8.329,0.840,8.371
1.654,-10.965,7.999,-0.645,7.777,-10.320,0.222,10.322
2.067,-19.963,7.436,-15.860,7.938,-4.103,-0.502,4.134
2.481,-12.900,5.757,-19.157,6.935,6.257,-1.178,6.367
2.894,4.534,3.218,-6.111,4.767,10.645,-1.549,10.757
3.307,18.310,0.201,10.663,2.150,7.647,-1.949,7.891
3.720,17.395,-2.852,19.963,-1.004,-2.568,-1.848,3.164
4.133,2.486,-5.477,12.383,-4.014,-9.897,-1.463,10.004
4.547,-14.434,-7.282,-4.516,-6.272,-9.918,-1.010,9.969
4.961,-19.725,-7.995,-18.172,-7.670,-1.553,-0.325,1.586
5.374,-9.157,-7.509,-16.917,-7.921,7.760,0.412,7.771
5.786,8.755,-5.901,-1.810,-6.971,10.565,1.070,10.619
6.199,19.640,-3.415,14.139,-5.090,5.501,1.675,5.750
6.611,14.810,-0.422,19.874,-2.509,-5.064,2.087,5.477
7.023,-1.863,2.635,8.817,0.842,-10.680,1.793,10.829
7.435,-17.058,5.302,-8.244,3.655,-8.814,1.647,8.967
7.848,-18.575,7.178,-19.659,6.146,1.084,1.032,1.497
8.261,-5.189,7.981,-13.906,7.688,8.717,0.293,8.722
8.674,12.354,7.592,2.061,7.974,10.293,-0.382,10.300
9.086,19.994,6.069,16.881,7.150,3.113,-1.081,3.296
9.500,11.558,3.632,18.512,5.197,-6.954,-1.565,7.128
9.914,-6.200,0.648,4.355,2.401,-10.555,-1.753,10.700
10.328,-18.953,-2.431,-12.132,-0.466,-6.821,-1.965,7.099
10.741,-16.451,-5.143,-19.982,-3.549,3.531,-1.594,3.874
11.155,-0.679,-7.088,-10.609,-6.111,9.930,-0.977,9.978
11.569,15.628,-7.966,6.182,-7.563,9.446,-0.403,9.455
11.983,19.342,-7.648,18.888,-7.993,0.454,0.345,0.570
12.396,7.477,-6.183,15.824,-7.151,-8.347,0.968,8.403
12.809,-10.402,-3.791,0.143,-5.323,-10.545,1.532,10.656
13.223,-19.914,-0.828,-15.519,-2.742,-4.395,1.914,4.794
13.637,-13.370,2.260,-19.551,0.161,6.181,2.099,6.527
14.050,3.927,5.005,-6.971,3.440,10.898,1.565,11.010
14.464,18.070,7.000,10.071,5.824,7.999,1.176,8.085
14.877,17.669,7.947,19.910,7.490,-2.241,0.457,2.287
15.291,3.051,7.701,12.383,7.992,-9.332,-0.291,9.336
15.704,-14.031,6.301,-4.122,7.275,-9.909,-0.974,9.956
