omega,det_fps,med_kalman,med_kalman_coast,med_kalman_coast_bounded,winner
5.0,3.0,5.466,5.456,4.664,kalman_coast_bounded
5.0,5.0,3.526,3.172,2.907,kalman_coast_bounded
5.0,8.0,2.081,1.730,1.871,kalman_coast
5.0,12.0,1.251,0.981,1.151,kalman_coast
5.0,15.0,1.060,0.795,0.938,kalman_coast
5.0,20.0,0.750,0.559,0.725,kalman_coast
5.0,30.0,0.515,0.390,0.504,kalman_coast
10.0,3.0,8.056,7.824,6.889,kalman_coast_bounded
10.0,5.0,5.072,4.542,4.168,kalman_coast_bounded
10.0,8.0,2.927,2.353,2.579,kalman_coast
10.0,12.0,1.812,1.360,1.691,kalman_coast
10.0,15.0,1.458,1.103,1.337,kalman_coast
10.0,20.0,1.103,0.801,1.066,kalman_coast
10.0,30.0,0.783,0.574,0.750,kalman_coast
15.0,3.0,11.865,11.743,10.485,kalman_coast_bounded
15.0,5.0,7.422,6.638,6.018,kalman_coast_bounded
15.0,8.0,4.382,3.574,3.768,kalman_coast
15.0,12.0,2.717,2.126,2.430,kalman_coast
15.0,15.0,2.230,1.694,2.100,kalman_coast
15.0,20.0,1.736,1.280,1.614,kalman_coast
15.0,30.0,1.215,0.901,1.159,kalman_coast
20.0,3.0,13.948,14.463,12.001,kalman_coast_bounded
20.0,5.0,9.510,9.726,7.898,kalman_coast_bounded
20.0,8.0,6.258,5.263,5.518,kalman_coast
20.0,12.0,3.937,3.089,3.344,kalman_coast
20.0,15.0,3.343,2.585,2.896,kalman_coast
20.0,20.0,2.397,1.806,2.172,kalman_coast
20.0,30.0,1.671,1.314,1.506,kalman_coast
25.0,3.0,15.524,16.801,14.821,kalman_coast_bounded
25.0,5.0,12.694,12.636,11.138,kalman_coast_bounded
25.0,8.0,8.238,7.648,6.931,kalman_coast_bounded
25.0,12.0,5.682,4.844,4.679,kalman_coast_bounded
25.0,15.0,4.433,3.743,3.540,kalman_coast_bounded
25.0,20.0,3.450,2.730,2.984,kalman_coast
25.0,30.0,2.432,1.937,2.165,kalman_coast
30.0,3.0,16.208,17.789,15.787,kalman_coast_bounded
30.0,5.0,14.335,15.059,13.113,kalman_coast_bounded
30.0,8.0,10.093,10.151,8.274,kalman_coast_bounded
30.0,12.0,7.365,6.709,6.190,kalman_coast_bounded
30.0,15.0,6.563,5.619,5.622,kalman_coast
30.0,20.0,4.934,4.355,4.297,kalman_coast_bounded
30.0,30.0,3.322,2.759,2.971,kalman_coast
