omega,det_fps,med_kalman,med_coast,improvement,on_kalman,on_coast
5.0,3.0,5.466,5.456,0.010,4,2
5.0,5.0,3.526,3.172,0.355,4,7
5.0,8.0,2.081,1.730,0.351,15,22
5.0,12.0,1.251,0.981,0.270,36,53
5.0,15.0,1.060,0.795,0.264,47,74
5.0,20.0,0.750,0.559,0.191,72,94
5.0,30.0,0.515,0.390,0.125,93,99
10.0,3.0,8.056,7.824,0.232,0,2
10.0,5.0,5.072,4.542,0.530,3,4
10.0,8.0,2.927,2.353,0.574,5,8
10.0,12.0,1.812,1.360,0.451,11,21
10.0,15.0,1.458,1.103,0.354,17,40
10.0,20.0,1.103,0.801,0.302,42,77
10.0,30.0,0.783,0.574,0.209,76,98
15.0,3.0,11.865,11.743,0.122,0,0
15.0,5.0,7.422,6.638,0.784,0,0
15.0,8.0,4.382,3.574,0.808,0,0
15.0,12.0,2.717,2.126,0.590,0,2
15.0,15.0,2.230,1.694,0.536,2,11
15.0,20.0,1.736,1.280,0.456,14,30
15.0,30.0,1.215,0.901,0.314,35,61
20.0,3.0,13.948,14.463,-0.515,0,0
20.0,5.0,9.510,9.726,-0.216,1,1
20.0,8.0,6.258,5.263,0.995,2,3
20.0,12.0,3.937,3.089,0.848,8,12
20.0,15.0,3.343,2.585,0.758,11,18
20.0,20.0,2.397,1.806,0.591,14,25
20.0,30.0,1.671,1.314,0.356,25,37
25.0,3.0,15.524,16.801,-1.277,0,0
25.0,5.0,12.694,12.636,0.058,1,1
25.0,8.0,8.238,7.648,0.590,2,1
25.0,12.0,5.682,4.844,0.838,3,5
25.0,15.0,4.433,3.743,0.690,4,7
25.0,20.0,3.450,2.730,0.721,8,13
25.0,30.0,2.432,1.937,0.495,16,24
30.0,3.0,16.208,17.789,-1.581,0,0
30.0,5.0,14.335,15.059,-0.724,0,0
30.0,8.0,10.093,10.151,-0.058,1,1
30.0,12.0,7.365,6.709,0.656,1,3
30.0,15.0,6.563,5.619,0.945,2,4
30.0,20.0,4.934,4.355,0.579,5,8
30.0,30.0,3.322,2.759,0.563,9,12
